م,اسم الإدارة,اسم المحطة,مجري المصرف,كم,مجري الترعة,كم.1,الحالة تعمل /معطلة,عدد الوحدات بالمحطة,تصرف الوحدة م3/ث,عدد الوحدات العاملة,عدد ساعات التشغيل اليومي,عدد ايام التشغيل في الاسبوع,تصرف المحطة    م3/اسبوع,اجمالي االتصرف الشهري,ملاحظات,Unnamed: 16,Unnamed: 17
352,الإدارة العامة لرى اسوان,محطة خور السيل ( 2 ),مصرف  خور السيل الأوسط,3.7,نهاية فرع 5,نهاية,تعمل,3+1,0.50+1.00,1*(1.00+0.5),,,,898965.0,,,
353,الإدارة العامة لرى اسوان,محطة خور السيل ( 3 ),مصرف  خور السيل الرئيسي,2.8,مصمص,الفم,تعمل,3,0.75,1,,,,20250.0,,,
354,الإدارة العامة لرى اسوان,محطة 6 خريت,مصرف عنيبة و أرمنا,3.4,ترعة عنيبة و أرمنا,4,تعمل,2,0.25,1,,,,113400.0,,,
355,الإدارة العامة لرى اسوان,محطة هبة النيل,مصرف  خور السيل الرئيسي,12.73,نهاية الخريت العليا,نهاية,تعمل,1+3,0.50+0.25,1*0.5+1*0.25,,,,382725.0,,,
356,الإدارة العامة لرى اسوان,محطة خور السيل الجنوبي,مصرف خور السيل الجنوبي,2.2,الخريت السفلي,7,تعمل,1+2,0.75+0.50,1*0.75,,,,235750.0,,,
357,الإدارة العامة لرى اسوان,محطة العتامير ( المنشية شرق ),مصرف العتامير,8,تغذية كاسل,2,تعمل,3,0.5,3,,,,288800.0,السلسة,,
358,الإدارة العامة لرى اسوان,محطة  خور السيل البحري  ( السلسلة ),خور السيل البحري,5,صدقي الغربي,نهايه,تعمل,2,0.5,2,,,,469800.0,,,
359,الإدارة العامة لرى اسوان,محطة خلط المالكى ,مصرف امتداد العتامير,6,مسقى امتداد ناصر ,نهايه,تعمل,2,0.25,2,,,,129725.0,,,
360,الإدارة العامة لرى اسوان,محطة خور السيل البحري (فطيرة ),مصرف خور السيل البحري,100,الفرع القبلي لساحل فطيرة,6,تعمل,2,0.5,0,,,,27800.0,,,
361,الإدارة العامة لرى اسوان,الدكا,خور السيل البحري,4,الدكا,2500,تعمل,1+2,1.00+0.50,1+1,,,,339750.0,,,
362,الإدارة العامة لرى اسوان,محطة الطوناب,الرديسية,2200,الجنوبيات,6.5,تعمل,1+1,0.25+0.50,1+1,,,,101250.0,,,
363,الإدارة العامة لرى اسوان,محطة الزراعات, الزراعات ( 6 ، 7 ، 8 ),1900,باب ( 6 ),6100,تعمل,1,0.5,1,,,,97200.0,ادفو شرق,,
364,الإدارة العامة لرى اسوان,محطة الشيخ مصطفي,وادي عبادي ( مخر سيل ),"0,35",وادي الرديسية,"3,5",تعمل,2,0.5,0,,,,25100.0,,,
365,الإدارة العامة لرى اسوان,محطة الاشراف الشرقية,المصرف الفرعي ( 2 ),8010,نهاية فرع ( 1 ، 2 ) الرئيسي,نهاية,تعمل,2,0.75+0.25,1,,,,306450.0,,,
366,الإدارة العامة لرى اسوان,محطة الاشراف الغربيه,المصرف الفرعي ( 3 ),1.2,نهاية فرع ( 2 ) الرئيسي,نهاية,تعمل,1+1,0.75+0.50,2,,,,376650.0,الصعايدة,,
367,الإدارة العامة لرى اسوان,محطة أبو بكر,المصرف الفرعي ( 3 ),المبدأ,نهاية فرع ( 2 ) الرئيسي,نهاية,تعمل,2+1,0.50+0.25,3,,,,579150.0,,,
